"Author";"Frequency"
"Xing Li";5
"Qian Zhao";5
"R. Balog";5
"Zhengming Zhao";5
"Liqiang Yuan";5
"D. Dorrell";5
"Shuang Gao";5
"Zhiyong Feng";5
"K. Agbossou";5
"R. Shah";5
"J. Andrews";5
"S. Gupta";5
"S. Chakraborty";5
"Zheng Zhou";5
"M. Hussin";5
"Albert Y. Zomaya";5
"Pingfeng Wang";5
"Hung Tran";5
"张健";5
"M. Abbod";5
"C. Tumelo-Chakonta";5
"Jinsong Wu";5
"Kun Zhang";5
"N. Ghadimi";5
"Y. Kumar";5
"B. Das";5
"Chen-Ching Liu";5
"G. Yin";5
"Q. Ye";5
"D. Jayaweera";5
"Ke Ma";5
"Ran Li";5
"A. Banerjee";5
"R. Mishra";5
"孙华东";5
"Hua Zhang";5
"Q. Fu";5
"Seungdeog Choi";5
"W. Hamouda";5
"M. Javadi";5
"Hui Tian";5
"Yue Li";5
"R. Schober";5
"Ziyang Liu";5
"Hui Chen";5
"S. Habib";5
"B. Falahati";5
"Yong Fu";5
"Hui Zhao";5
"M. Ashari";5
"Cheng-Ting Hsu";5
"C. Ghenai";5
"Yixing Xu";5
"Qiang Guo";5
"Yao Zhang";5
"R. Baldick";5
"S. Hosseini";5
"Zhenyu Huang";5
"A. Yona";5
"A. Mammoli";5
"Y. Zhou";5
"Li Jiang";5
"Lei Huang";5
"F. Fang";5
"Xuan Zhang";5
"S. Leva";5
"N. Prakash";5
"P. Sharma";5
"A. Prasad";5
"Albert Y. S. Lam";5
"Hua Wang";5
"Cheng Liu";5
"Hao Zheng";5
"Qi Chen";5
"束洪春";5
"Y. Bao";5
"P. Venkatesh";5
"Tseng-Yi Chen";5
"W. Shih";5
"S. You";5
"Pengcheng Zhu";5
"Tao Yu";5
"B. Han";5
"Wei Feng";5
"Frede Blaabjerg";5
"R. Byrne";5
"D. Das";5
"S. Hsieh";5
"Wei Tang";5
"R. Yan";5
"M. Abdullah";5
"G. Lu";5
"Ji Liu";5
"Xin Zhou";5
"M. Al-Muhaini";5
"Baorong Zhou";5
"S. Kahrobaee";5
"Jianwen Zhang";5
"Di Wu";5
"X. Wen";5
"S. Shukla";5
"L. Tan";5
"W. G. Ariastina";5
"Heng Wang";5
"P. Maciel";5
"Hao Song";5
"Y. Gu";5
"Z. Shen";5
"M. Shaat";5
"A. Vaccaro";5
"A. Abbaspour";5
"Suhua Lou";5
"G. Hug";5
"Ke Jiang";5
"A. Kapetanaki";5
"M. Valkama";5
"M. Haghbayan";5
"M. Hasan";5
"A. Raghunathan";5
"Nanning Zheng";5
"M. Elkashlan";5
"K. Vijayakumar";5
"S. Samantaray";5
"Hongyu Wu";5
"Qi Zhang";5
"S. Biswas";5
"X. Wang";5
"J. Suul";5
"V. Oboskalov";5
"S. Kar";5
"Ashutosh Kumar Singh";5
"M. Almuhaini";5
"Tong Liu";5
"M. Braun";5
"Yuan Cheng";5
"Qingming Xin";5
"Lin Liu";5
"Haiyun Wang";5
"Md. Alamgir Hossain";5
"Chenye Wu";5
"F. Mohammadi";5
"Yun Liang";5
"Hongbo Zhu";5
"H. Zhong";5
"W. Lin";5
"Chao Zheng";5
"Jianhua Wang";5
"W. Wang";5
"Muhammad Imran";5
"Qiang Wu";5
"Khaled Maaiuf Rabie";5
"Jie Wu";5
"Ebha Koley";5
"A. Siddiqui";5
"Lin Jiang";5
"Subhojit Ghosh";5
"V. Yadav";5
"Muhammad Abdillah";5
"Zhongping Yang";5
"Jiawei Wang";5
"Yuehui Huang";5
"Ke Xu";5
"Zhe Liu";5
"Xiao Wang";5
"R. Agrawal";5
"X. Dai";5
"S. Z. Hassan";5
"H. V. Poor";5
"Tiejiang Yuan";5
"M. Papic";5
"B. Hredzak";5
"Lu Zhang";5
"Song Li";5
"M. A. Mahar";5
"B. Johnson";5
"Yijia Cao";5
"Shan Wang";5
"H. Shayeghi";5
"M. Longo";5
"Karim H. Moussa";5
"G. Farivar";5
"F. Ali";5
"Shaorong Wang";5
"Yue Cao";5
"Xiao Chen";5
"Junwen Zhang";5
"B. Nguyen";5
"M. Voznák";5
"Heping Jia";5
"D. Trakas";5
"Yu Zhao";5
"Qingsong Wang";5
"Y. Qi";5
"K. Sandhu";5
"Subham S. Sahoo";5
"Saifullah Shafiq";5
"Lingjia Liu";5
